,2875,3000,3125
n07745940,0.6571428571428571,0.8,0.6
n02797295,0.18421052631578946,0.21052631578947367,0.15789473684210525
n04204347,0.4634146341463415,0.4878048780487805,0.4878048780487805
n04465501,0.6190476190476191,0.6666666666666666,0.6190476190476191
n07753113,0.5,0.5384615384615384,0.5
n07753275,0.6046511627906976,0.627906976744186,0.5348837209302325
n13133613,0.07142857142857142,0.10714285714285714,0.14285714285714285
n03372029,0.20689655172413793,0.2413793103448276,0.27586206896551724
n03481172,0.0,0.0,0.0
n02951585,0.03571428571428571,0.07142857142857142,0.07142857142857142
n04208210,0.0625,0.0625,0.0625
n01514859,0.5588235294117647,0.6470588235294118,0.5588235294117647
n01608432,0.5526315789473685,0.5789473684210527,0.5526315789473685
n01855672,0.6976744186046512,0.7209302325581395,0.7209302325581395
n02007558,0.40476190476190477,0.5238095238095238,0.5476190476190477
